images,movie_time,rating,date,url,item_url,des,title,server,main_url,location,inq,spider,comment,project
,1988,9.1,2017-03-05 14:29:36.529129,https://movie.douban.com/subject/1291560/,,导演: 宫崎骏 Hayao Miyazaki   主演: 日高法子 Noriko Hidaka / 坂本千夏 Ch... 1988 / 日本 / 动画 奇幻  ,龙猫 /となりのトトロ,rMBP.lan,https://movie.douban.com/top250,,人人心中都有个龙猫，童年就永远不会消失。,doubantop250,389359,apple
,1939,9.2,2017-03-05 14:29:36.533665,https://movie.douban.com/subject/1300267/,,导演: Victor Fleming / George Cukor   主演: 克拉克·盖博 Clark Gable / ... 1939 / 美国 / 剧情 爱情 战争  ,乱世佳人 /Gone with the Wind,rMBP.lan,https://movie.douban.com/top250,,Tomorrow is another day.,doubantop250,252384,apple
,1998,9.0,2017-03-05 14:29:36.537843,https://movie.douban.com/subject/1292064/,,导演: 彼得·威尔 Peter Weir   主演: 金·凯瑞 Jim Carrey / 劳拉·琳妮 Lau... 1998 / 美国 / 剧情 科幻  ,楚门的世界 /The Truman Show,rMBP.lan,https://movie.douban.com/top250,,如果再也不能见到你，祝你早安，午安，晚安。,doubantop250,411471,apple
,1988,9.1,2017-03-05 14:29:36.541731,https://movie.douban.com/subject/1291828/,,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 安东娜拉·塔莉 Antonel... 1988 / 意大利 法国 / 剧情 爱情  ,天堂电影院 /Nuovo Cinema Paradiso,rMBP.lan,https://movie.douban.com/top250,,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,doubantop250,290118,apple
,2006,8.9,2017-03-05 14:29:36.547353,https://movie.douban.com/subject/1849031/,,导演: 加布里尔·穆奇诺 Gabriele Muccino   主演: 威尔·史密斯 Will Smith ... 2006 / 美国 / 剧情 传记 家庭  ,当幸福来敲门 /The Pursuit of Happyness,rMBP.lan,https://movie.douban.com/top250,,平民励志片。 ,doubantop250,502777,apple
,2011,9.1,2017-03-05 14:29:36.552419,https://movie.douban.com/subject/6786002/,,导演: 奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano   主... 2011 / 法国 / 剧情 喜剧  ,触不可及 /Intouchables,rMBP.lan,https://movie.douban.com/top250,,满满温情的高雅喜剧。,doubantop250,338981,apple
,1999,9.0,2017-03-05 14:29:36.563995,https://movie.douban.com/subject/1292000/,,导演: 大卫·芬奇 David Fincher   主演: 爱德华·诺顿 Edward Norton / 布拉... 1999 / 美国 德国 / 剧情 动作 悬疑 惊悚  ,搏击俱乐部 /Fight Club,rMBP.lan,https://movie.douban.com/top250,,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,doubantop250,382710,apple
,1957,9.3,2017-03-05 14:29:36.571426,https://movie.douban.com/subject/1293182/,,导演: Sidney Lumet   主演: 亨利·方达 Henry Fonda / 马丁·鲍尔萨姆 Marti... 1957 / 美国 / 剧情  ,十二怒汉 /12 Angry Men,rMBP.lan,https://movie.douban.com/top250,,1957年的理想主义。 ,doubantop250,157196,apple
,2003,9.1,2017-03-05 14:29:36.575192,https://movie.douban.com/subject/1291552/,,导演: 彼得·杰克逊 Peter Jackson   主演: 维果·莫腾森 Viggo Mortensen / ... 2003 / 美国 新西兰 / 剧情 动作 奇幻 冒险  ,指环王3：王者无敌 /The Lord of the Rings: The Return of the King,rMBP.lan,https://movie.douban.com/top250,,史诗的终章。,doubantop250,267675,apple
,2002,9.0,2017-03-05 14:29:36.868204,https://movie.douban.com/subject/1307914/,,导演: 刘伟强 / 麦兆辉   主演: 刘德华 / 梁朝伟 / 黄秋生 2002 / 香港 / 犯罪 悬疑 惊悚  ,无间道 /無間道,rMBP.lan,https://movie.douban.com/top250?start=25&filter=,,香港电影史上永不过时的杰作。,doubantop250,366046,apple
